id,simplified,traditional,pinyin_marked,pinyin_numbered,pos,hsk_band_2026,hsk_band_range,hsk_band_2021,hsk_band_2_0,hsk_list_id,definition_count,definitions,source_ids,frequency_rank,zipf,audio_female_available,audio_male_available,audio_status,enriched_via
dex:w:guo4:过:v,过,過,guò,guo4,V,1,1,1,,L1-0131,8,"[""to cross"",""to go over"",""to pass (time)"",""to celebrate (a holiday)"",""to live"",""to get along"",""excessively"",""too-""]",hsk30:L1-0131;cc-cedict:過|过[guo4],144,6.1,true,false,available-unhosted,reading
dex:w:hai2:还:adv,还,還,hái,hai2,Adv,1,1,1,2,L1-0132,12,"[""still"",""still in progress"",""still more"",""yet"",""even more"",""in addition"",""fairly"",""passably (good)"",""as early as"",""even"",""also"",""else""]",hsk30:L1-0132;cc-cedict:還|还[hai2],71,6.38,true,false,available-unhosted,reading
dex:w:huan2:还:v,还,還,huán,huan2,V,1,1,,,L1-0153,2,"[""to pay back"",""to return""]",hsk30:L1-0153;cc-cedict:還|还[huan2],70,6.38,true,false,available-unhosted,reading
dex:w:hai2shi5:还是:adv,还是,還是,háishi,hai2 shi5,Adv;Conj,1,1,1,3,L1-0133,4,"[""still (as before)"",""had better"",""unexpectedly"",""or""]",hsk30:L1-0133;cc-cedict:還是|还是[hai2 shi5],301,5.76,true,false,available-unhosted,reading
dex:w:hai2you3:还有:x,还有,還有,hái yǒu,hai2 you3,,1,1,1,,L1-0134,2,"[""there still remain(s); there is (or are) still"",""in addition""]",hsk30:L1-0134;cc-cedict:還有|还有[hai2 you3],290,5.77,true,false,available-unhosted,reading
dex:w:zhe4:这:pron,这,這,zhè,zhe4,Pron,1,1,1,1,L1-0464,3,"[""(pronoun) this; these"",""(bound form) this; the (followed by a noun)"",""(bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)""]",hsk30:L1-0464;cc-cedict:這|这[zhe4],33,6.68,true,false,available-unhosted,reading
dex:w:zhe4xie1:这些:pron,这些,這些,zhèxiē,zhe4 xie1,Pron,1,1,1,,L1-0468,1,"[""these""]",hsk30:L1-0468;cc-cedict:這些|这些[zhe4 xie1],167,6.05,true,false,available-unhosted,reading
dex:w:zhe4r5:这儿:pron,这儿,這兒,zhèr,zhe4 r5,Pron,1,1,1,,L1-0467,1,"[""here""]",hsk30:L1-0467;cc-cedict:這兒|这儿[zhe4 r5],4535,4.51,true,false,available-unhosted,reading
dex:w:zhe4bian1:这边:pron,这边,這邊,zhèbiān,zhe4 bian1,Pron,1,1,1,,L1-0465,2,"[""this side"",""here""]",hsk30:L1-0465;cc-cedict:這邊|这边[zhe4 bian1],4697,4.49,true,false,available-unhosted,reading
dex:w:zhe4li3:这里:pron,这里,這裡,zhèlǐ,zhe4 li3,Pron,1,1,1,,L1-0466,1,"[""here""]",hsk30:L1-0466;cc-cedict:這裡|这里[zhe4 li3],360,5.67,true,false,available-unhosted,reading
